LS,Price Level,Level,Section,Row,Seat,X,Y
F:1:A:1,1,F,1,A,1,1450,594
F:1:A:2,1,F,1,A,2,1450,604
F:1:A:3,1,F,1,A,3,1450,614
F:1:A:4,1,F,1,A,4,1450,624
F:1:A:5,1,F,1,A,5,1450,634
F:1:A:6,1,F,1,A,6,1450,644
F:1:A:7,1,F,1,A,7,1450,654
F:1:A:8,1,F,1,A,8,1450,664
F:1:A:9,1,F,1,A,9,1450,674
F:1:A:10,1,F,1,A,10,1450,684
F:1:A:11,1,F,1,A,11,1450,694
F:1:A:12,1,F,1,A,12,1450,704
F:1:A:13,1,F,1,A,13,1450,714
F:1:A:14,1,F,1,A,14,1450,794
F:1:A:15,1,F,1,A,15,1450,804
F:1:A:16,1,F,1,A,16,1450,814
F:1:A:17,1,F,1,A,17,1450,824
F:1:A:18,1,F,1,A,18,1450,834
F:1:A:19,1,F,1,A,19,1450,844
F:1:A:20,1,F,1,A,20,1450,854
F:1:A:21,1,F,1,A,21,1450,864
F:1:A:22,1,F,1,A,22,1450,874
F:1:A:23,1,F,1,A,23,1450,884
F:1:A:24,1,F,1,A,24,1450,894
F:1:A:25,1,F,1,A,25,1450,904
F:1:A:26,1,F,1,A,26,1450,914
F:1:A:27,1,F,1,A,27,1450,924
F:1:A:28,1,F,1,A,28,1450,934
F:1:A:29,1,F,1,A,29,1450,944
F:1:A:30,1,F,1,A,30,1450,954
F:1:B:14,1,F,1,B,14,1460,794
F:1:B:15,1,F,1,B,15,1460,804
F:1:B:16,1,F,1,B,16,1460,814
F:1:B:17,1,F,1,B,17,1460,824
F:1:B:18,1,F,1,B,18,1460,834
F:1:B:19,1,F,1,B,19,1460,844
F:1:B:20,1,F,1,B,20,1460,854
F:1:B:21,1,F,1,B,21,1460,864
F:1:B:22,1,F,1,B,22,1460,874
F:1:B:23,1,F,1,B,23,1460,884
F:1:B:24,1,F,1,B,24,1460,894
F:1:B:25,1,F,1,B,25,1460,904
F:1:B:26,1,F,1,B,26,1460,914
F:1:B:27,1,F,1,B,27,1460,924
F:1:B:28,1,F,1,B,28,1460,934
F:1:B:29,1,F,1,B,29,1460,944
F:1:C:14,1,F,1,C,14,1470,794
F:1:C:15,1,F,1,C,15,1470,804
F:1:C:16,1,F,1,C,16,1470,814
F:1:C:17,1,F,1,C,17,1470,824
F:1:C:18,1,F,1,C,18,1470,834
F:1:C:19,1,F,1,C,19,1470,844
F:1:C:20,1,F,1,C,20,1470,854
F:1:C:21,1,F,1,C,21,1470,864
F:1:C:22,1,F,1,C,22,1470,874
F:1:C:23,1,F,1,C,23,1470,884
F:1:C:24,1,F,1,C,24,1470,894
F:1:C:25,1,F,1,C,25,1470,904
F:1:C:26,1,F,1,C,26,1470,914
F:1:C:27,1,F,1,C,27,1470,924
F:1:C:28,1,F,1,C,28,1470,934
F:1:C:29,1,F,1,C,29,1470,944
F:2:A:1,1,F,2,A,1,1115,570
F:2:A:2,1,F,2,A,2,1124,570
F:2:A:3,1,F,2,A,3,1133,570
F:2:A:4,1,F,2,A,4,1142,570
F:2:A:5,1,F,2,A,5,1151,570
F:2:A:6,1,F,2,A,6,1160,570
F:2:A:7,1,F,2,A,7,1169,570
F:2:A:8,1,F,2,A,8,1178,570
F:2:A:9,1,F,2,A,9,1187,570
F:2:A:10,1,F,2,A,10,1196,570
F:2:A:11,1,F,2,A,11,1205,570
F:2:A:12,1,F,2,A,12,1214,570
F:2:A:13,1,F,2,A,13,1223,570
F:2:A:14,1,F,2,A,14,1232,570
F:2:A:15,1,F,2,A,15,1241,570
F:2:A:16,1,F,2,A,16,1250,570
F:2:A:17,1,F,2,A,17,1259,570
F:2:A:18,1,F,2,A,18,1268,570
F:2:A:19,1,F,2,A,19,1277,570
F:2:A:20,1,F,2,A,20,1286,570
F:2:A:21,1,F,2,A,21,1295,570
F:2:A:22,1,F,2,A,22,1304,570
F:2:A:23,1,F,2,A,23,1313,570
F:2:A:24,1,F,2,A,24,1322,570
F:2:A:25,1,F,2,A,25,1331,570
F:2:A:26,1,F,2,A,26,1340,570
F:2:A:27,1,F,2,A,27,1349,570
F:2:A:28,1,F,2,A,28,1358,570
F:2:A:29,1,F,2,A,29,1367,570
F:2:A:30,1,F,2,A,30,1376,570
F:2:A:31,1,F,2,A,31,1385,570
F:2:A:32,1,F,2,A,32,1394,570
F:2:A:33,1,F,2,A,33,1403,570
F:2:A:34,1,F,2,A,34,1412,570
F:2:A:35,1,F,2,A,35,1421,570
F:3:A:1,1,F,3,A,1,1100,570
F:3:A:2,1,F,3,A,2,1091,570
F:3:A:3,1,F,3,A,3,1082,570
F:3:A:4,1,F,3,A,4,1073,570
F:3:A:5,1,F,3,A,5,1064,570
F:3:A:6,1,F,3,A,6,1055,570
F:3:A:7,1,F,3,A,7,1046,570
F:3:A:8,1,F,3,A,8,1037,570
F:3:A:9,1,F,3,A,9,1028,570
F:3:A:10,1,F,3,A,10,1019,570
F:3:A:11,1,F,3,A,11,1010,570
F:3:A:12,1,F,3,A,12,1001,570
F:3:A:13,1,F,3,A,13,992,570
F:3:A:14,1,F,3,A,14,983,570
F:3:A:15,1,F,3,A,15,974,570
F:3:A:16,1,F,3,A,16,965,570
F:3:A:17,1,F,3,A,17,956,570
F:3:A:18,1,F,3,A,18,947,570
F:3:A:19,1,F,3,A,19,938,570
F:3:A:20,1,F,3,A,20,929,570
F:3:A:21,1,F,3,A,21,920,570
F:3:A:22,1,F,3,A,22,911,570
F:3:A:23,1,F,3,A,23,902,570
F:3:A:24,1,F,3,A,24,893,570
F:3:A:25,1,F,3,A,25,884,570
F:3:A:26,1,F,3,A,26,875,570
F:3:A:27,1,F,3,A,27,866,570
F:3:A:28,1,F,3,A,28,857,570
F:3:A:29,1,F,3,A,29,848,570
F:3:A:30,1,F,3,A,30,839,570
F:3:A:31,1,F,3,A,31,830,570
F:3:A:32,1,F,3,A,32,821,570
F:3:A:33,1,F,3,A,33,812,570
F:3:A:34,1,F,3,A,34,803,570
F:4:A:1,1,F,4,A,1,750,944
F:4:A:2,1,F,4,A,2,750,934
F:4:A:3,1,F,4,A,3,750,924
F:4:A:4,1,F,4,A,4,750,914
F:4:A:5,1,F,4,A,5,750,904
F:4:A:6,1,F,4,A,6,750,894
F:4:A:7,1,F,4,A,7,750,884
F:4:A:8,1,F,4,A,8,750,874
F:4:A:9,1,F,4,A,9,750,864
F:4:A:10,1,F,4,A,10,750,854
F:4:A:11,1,F,4,A,11,750,844
F:4:A:12,1,F,4,A,12,750,834
F:4:A:13,1,F,4,A,13,750,824
F:4:A:14,1,F,4,A,14,750,814
F:4:A:15,1,F,4,A,15,750,734
F:4:A:16,1,F,4,A,16,750,724
F:4:A:17,1,F,4,A,17,750,714
F:4:A:18,1,F,4,A,18,750,704
F:4:A:19,1,F,4,A,19,750,694
F:4:A:20,1,F,4,A,20,750,684
F:4:A:21,1,F,4,A,21,750,674
F:4:A:22,1,F,4,A,22,750,664
F:4:A:23,1,F,4,A,23,750,654
F:4:A:24,1,F,4,A,24,750,644
F:4:A:25,1,F,4,A,25,750,634
F:4:A:26,1,F,4,A,26,750,624
F:4:A:27,1,F,4,A,27,750,614
F:4:A:28,1,F,4,A,28,750,604
F:4:A:29,1,F,4,A,29,750,594
F:4:A:30,1,F,4,A,30,750,584
F:5:A:1,10,F,5,A,1,700,655
F:5:A:2,10,F,5,A,2,700,661.75
F:5:A:3,10,F,5,A,3,700,668.5
F:5:A:4,10,F,5,A,4,700,675.25
F:5:A:5,10,F,5,A,5,700,682
F:5:A:6,10,F,5,A,6,700,688.75
F:5:A:7,10,F,5,A,7,700,695.5
F:5:A:8,10,F,5,A,8,700,702.25
F:5:A:9,10,F,5,A,9,700,709
F:5:A:10,10,F,5,A,10,700,715.75
F:5:A:11,10,F,5,A,11,700,722.5
F:5:A:12,10,F,5,A,12,700,729.25
F:5:A:13,10,F,5,A,13,700,736
F:5:A:14,10,F,5,A,14,700,742.75
F:5:A:15,10,F,5,A,15,700,749.5
F:5:A:16,10,F,5,A,16,700,756.25
F:5:B:1,10,F,5,B,1,692,655
F:5:B:2,10,F,5,B,2,692,661.75
F:5:B:3,10,F,5,B,3,692,668.5
F:5:B:4,10,F,5,B,4,692,675.25
F:5:B:5,10,F,5,B,5,692,682
F:5:B:6,10,F,5,B,6,692,688.75
F:5:B:7,10,F,5,B,7,692,695.5
F:5:B:8,10,F,5,B,8,692,702.25
F:5:B:9,10,F,5,B,9,692,709
F:5:B:10,10,F,5,B,10,692,715.75
F:5:B:11,10,F,5,B,11,692,722.5
F:5:B:12,10,F,5,B,12,692,729.25
F:5:B:13,10,F,5,B,13,692,736
F:5:B:14,10,F,5,B,14,692,742.75
F:5:B:15,10,F,5,B,15,692,749.5
F:5:B:16,10,F,5,B,16,692,756.25
F:5:C:1,10,F,5,C,1,684,655
F:5:C:2,10,F,5,C,2,684,661.75
F:5:C:3,10,F,5,C,3,684,668.5
F:5:C:4,10,F,5,C,4,684,675.25
F:5:C:5,10,F,5,C,5,684,682
F:5:C:6,10,F,5,C,6,684,688.75
F:5:C:7,10,F,5,C,7,684,695.5
F:5:C:8,10,F,5,C,8,684,702.25
F:5:C:9,10,F,5,C,9,684,709
F:5:C:10,10,F,5,C,10,684,715.75
F:5:C:11,10,F,5,C,11,684,722.5
F:5:C:12,10,F,5,C,12,684,729.25
F:5:C:13,10,F,5,C,13,684,736
F:5:C:14,10,F,5,C,14,684,742.75
F:5:C:15,10,F,5,C,15,684,749.5
F:5:C:16,10,F,5,C,16,684,756.25
F:5:D:1,10,F,5,D,1,676,655
F:5:D:2,10,F,5,D,2,676,661.75
F:5:D:3,10,F,5,D,3,676,668.5
F:5:D:4,10,F,5,D,4,676,675.25
F:5:D:5,10,F,5,D,5,676,682
F:5:D:6,10,F,5,D,6,676,688.75
F:5:D:7,10,F,5,D,7,676,695.5
F:5:D:8,10,F,5,D,8,676,702.25
F:5:D:9,10,F,5,D,9,676,709
F:5:D:10,10,F,5,D,10,676,715.75
F:5:D:11,10,F,5,D,11,676,722.5
F:5:D:12,10,F,5,D,12,676,729.25
F:5:D:13,10,F,5,D,13,676,736
F:5:D:14,10,F,5,D,14,676,742.75
F:5:D:15,10,F,5,D,15,676,749.5
F:5:D:16,10,F,5,D,16,676,756.25
F:5:E:1,10,F,5,E,1,668,655
F:5:E:2,10,F,5,E,2,668,661.75
F:5:E:3,10,F,5,E,3,668,668.5
F:5:E:4,10,F,5,E,4,668,675.25
F:5:E:5,10,F,5,E,5,668,682
F:5:E:6,10,F,5,E,6,668,688.75
F:5:E:7,10,F,5,E,7,668,695.5
F:5:E:8,10,F,5,E,8,668,702.25
F:5:E:9,10,F,5,E,9,668,709
F:5:E:10,10,F,5,E,10,668,715.75
F:5:E:11,10,F,5,E,11,668,722.5
F:5:E:12,10,F,5,E,12,668,729.25
F:5:E:13,10,F,5,E,13,668,736
F:5:E:14,10,F,5,E,14,668,742.75
F:5:E:15,10,F,5,E,15,668,749.5
F:5:E:16,10,F,5,E,16,668,756.25
F:5:F:1,10,F,5,F,1,660,655
F:5:F:2,10,F,5,F,2,660,661.75
F:5:F:3,10,F,5,F,3,660,668.5
F:5:F:4,10,F,5,F,4,660,675.25
F:5:F:5,10,F,5,F,5,660,682
F:5:F:6,10,F,5,F,6,660,688.75
F:5:F:7,10,F,5,F,7,660,695.5
F:5:F:8,10,F,5,F,8,660,702.25
F:5:F:9,10,F,5,F,9,660,709
F:5:F:10,10,F,5,F,10,660,715.75
F:5:F:11,10,F,5,F,11,660,722.5
F:5:F:12,10,F,5,F,12,660,729.25
F:5:F:13,10,F,5,F,13,660,736
F:5:F:14,10,F,5,F,14,660,742.75
F:5:F:15,10,F,5,F,15,660,749.5
F:5:F:16,10,F,5,F,16,660,756.25
F:5:G:1,10,F,5,G,1,652,655
F:5:G:2,10,F,5,G,2,652,661.75
F:5:G:3,10,F,5,G,3,652,668.5
F:5:G:4,10,F,5,G,4,652,675.25
F:5:G:5,10,F,5,G,5,652,682
F:5:G:6,10,F,5,G,6,652,688.75
F:5:G:7,10,F,5,G,7,652,695.5
F:5:G:8,10,F,5,G,8,652,702.25
F:5:G:9,10,F,5,G,9,652,709
F:5:G:10,10,F,5,G,10,652,715.75
F:5:G:11,10,F,5,G,11,652,722.5
F:5:G:12,10,F,5,G,12,652,729.25
F:5:G:13,10,F,5,G,13,652,736
F:5:G:14,10,F,5,G,14,652,742.75
F:5:G:15,10,F,5,G,15,652,749.5
F:5:G:16,10,F,5,G,16,652,756.25
F:5:H:1,10,F,5,H,1,644,655
F:5:H:2,10,F,5,H,2,644,661.75
F:5:H:3,10,F,5,H,3,644,668.5
F:5:H:4,10,F,5,H,4,644,675.25
F:5:H:5,10,F,5,H,5,644,682
F:5:H:6,10,F,5,H,6,644,688.75
F:5:H:7,10,F,5,H,7,644,695.5
F:5:H:8,10,F,5,H,8,644,702.25
F:5:H:9,10,F,5,H,9,644,709
F:5:H:10,10,F,5,H,10,644,715.75
F:5:H:11,10,F,5,H,11,644,722.5
F:5:H:12,10,F,5,H,12,644,729.25
F:5:H:13,10,F,5,H,13,644,736
F:5:H:14,10,F,5,H,14,644,742.75
F:5:H:15,10,F,5,H,15,644,749.5
F:5:H:16,10,F,5,H,16,644,756.25
F:6:A:1,10,F,6,A,1,700,876
F:6:A:2,10,F,6,A,2,700,869.25
F:6:A:3,10,F,6,A,3,700,862.5
F:6:A:4,10,F,6,A,4,700,855.75
F:6:A:5,10,F,6,A,5,700,849
F:6:A:6,10,F,6,A,6,700,842.25
F:6:A:7,10,F,6,A,7,700,835.5
F:6:A:8,10,F,6,A,8,700,828.75
F:6:A:9,10,F,6,A,9,700,822
F:6:A:10,10,F,6,A,10,700,815.25
F:6:A:11,10,F,6,A,11,700,808.5
F:6:A:12,10,F,6,A,12,700,801.75
F:6:A:13,10,F,6,A,13,700,795
F:6:A:14,10,F,6,A,14,700,788.25
F:6:A:15,10,F,6,A,15,700,781.5
F:6:A:16,10,F,6,A,16,700,774.75
F:6:B:1,10,F,6,B,1,692,876
F:6:B:2,10,F,6,B,2,692,869.25
F:6:B:3,10,F,6,B,3,692,862.5
F:6:B:4,10,F,6,B,4,692,855.75
F:6:B:5,10,F,6,B,5,692,849
F:6:B:6,10,F,6,B,6,692,842.25
F:6:B:7,10,F,6,B,7,692,835.5
F:6:B:8,10,F,6,B,8,692,828.75
F:6:B:9,10,F,6,B,9,692,822
F:6:B:10,10,F,6,B,10,692,815.25
F:6:B:11,10,F,6,B,11,692,808.5
F:6:B:12,10,F,6,B,12,692,801.75
F:6:B:13,10,F,6,B,13,692,795
F:6:B:14,10,F,6,B,14,692,788.25
F:6:B:15,10,F,6,B,15,692,781.5
F:6:B:16,10,F,6,B,16,692,774.75
F:6:C:1,10,F,6,C,1,684,876
F:6:C:2,10,F,6,C,2,684,869.25
F:6:C:3,10,F,6,C,3,684,862.5
F:6:C:4,10,F,6,C,4,684,855.75
F:6:C:5,10,F,6,C,5,684,849
F:6:C:6,10,F,6,C,6,684,842.25
F:6:C:7,10,F,6,C,7,684,835.5
F:6:C:8,10,F,6,C,8,684,828.75
F:6:C:9,10,F,6,C,9,684,822
