LS,Level,Section,Row,Seat,Seat Status Code,Price Level Code,Item Price
S:1:11:12,S,1,11,12,s,18,0
S:3:11:11,S,3,11,11,s,18,0
S:3:11:12,S,3,11,12,s,18,0
S:1:11:11,S,1,11,11,s,18,0
S:1:11:10,S,1,11,10,s,18,0
S:1:11:9,S,1,11,9,s,18,0
S:1:11:8,S,1,11,8,s,18,0
S:1:11:7,S,1,11,7,s,18,0
S:1:11:6,S,1,11,6,s,18,0
S:1:11:5,S,1,11,5,s,18,0
S:1:11:4,S,1,11,4,s,18,0
S:1:11:3,S,1,11,3,s,18,0
S:1:11:2,S,1,11,2,s,18,0
S:1:11:1,S,1,11,1,s,18,0
S:1:10:15,S,1,10,15,s,18,0
S:1:10:14,S,1,10,14,s,18,0
S:1:10:13,S,1,10,13,s,18,0
S:1:10:12,S,1,10,12,s,18,0
S:1:10:11,S,1,10,11,s,18,0
S:1:10:10,S,1,10,10,s,18,0
S:1:10:9,S,1,10,9,s,18,0
S:1:10:8,S,1,10,8,s,18,0
S:1:10:7,S,1,10,7,s,18,0
S:1:10:6,S,1,10,6,s,18,0
S:1:10:5,S,1,10,5,s,18,0
S:5:11:5,S,5,11,5,s,18,0
S:5:11:6,S,5,11,6,s,18,0
S:5:11:7,S,5,11,7,s,18,0
S:5:11:8,S,5,11,8,s,18,0
S:5:11:9,S,5,11,9,s,18,0
S:5:11:10,S,5,11,10,s,18,0
S:5:11:11,S,5,11,11,s,18,0
S:5:11:12,S,5,11,12,s,18,0
S:1:10:4,S,1,10,4,s,18,0
S:1:10:3,S,1,10,3,s,18,0
S:1:10:2,S,1,10,2,s,18,0
S:6:11:1,S,6,11,1,s,18,0
S:6:11:2,S,6,11,2,s,18,0
S:6:11:3,S,6,11,3,s,18,0
S:6:11:4,S,6,11,4,s,18,0
S:6:11:5,S,6,11,5,s,18,0
S:6:11:6,S,6,11,6,s,18,0
S:6:11:7,S,6,11,7,s,18,0
S:6:11:8,S,6,11,8,s,18,0
S:6:11:9,S,6,11,9,s,18,0
S:6:11:10,S,6,11,10,s,18,0
S:6:11:11,S,6,11,11,s,18,0
S:6:11:12,S,6,11,12,s,18,0
S:6:11:13,S,6,11,13,s,18,0
S:6:11:14,S,6,11,14,s,18,0
S:6:11:15,S,6,11,15,s,18,0
S:7:11:1,S,7,11,1,K,18,0
S:7:11:2,S,7,11,2,K,18,0
S:7:11:3,S,7,11,3,K,18,0
S:7:11:4,S,7,11,4,K,18,0
S:7:11:5,S,7,11,5,K,18,0
S:7:11:6,S,7,11,6,K,18,0
S:7:11:7,S,7,11,7,K,18,0
S:7:11:8,S,7,11,8,K,18,0
S:7:11:9,S,7,11,9,K,18,0
S:7:11:10,S,7,11,10,K,18,0
S:7:11:11,S,7,11,11,K,18,0
S:7:11:12,S,7,11,12,K,18,0
S:1:10:1,S,1,10,1,s,18,0
S:1:1:15,S,1,1,15,s,18,0
S:1:1:14,S,1,1,14,s,18,0
S:1:1:13,S,1,1,13,s,18,0
S:1:1:12,S,1,1,12,s,18,0
S:1:1:11,S,1,1,11,s,18,0
S:1:1:10,S,1,1,10,s,18,0
S:1:1:9,S,1,1,9,s,18,0
S:1:1:8,S,1,1,8,s,18,0
S:1:1:7,S,1,1,7,s,18,0
S:1:1:6,S,1,1,6,s,18,0
S:1:1:5,S,1,1,5,s,18,0
S:1:1:4,S,1,1,4,s,18,0
S:1:1:3,S,1,1,3,s,18,0
S:1:1:2,S,1,1,2,s,18,0
S:1:1:1,S,1,1,1,s,18,0
S:3:11:10,S,3,11,10,s,18,0
S:3:11:9,S,3,11,9,s,18,0
S:9:11:1,S,9,11,1,K,18,0
S:9:11:2,S,9,11,2,K,18,0
S:9:11:3,S,9,11,3,K,18,0
S:9:11:4,S,9,11,4,K,18,0
S:9:11:5,S,9,11,5,K,18,0
S:9:11:6,S,9,11,6,K,18,0
S:9:11:7,S,9,11,7,K,18,0
S:9:11:8,S,9,11,8,K,18,0
S:9:11:9,S,9,11,9,K,18,0
S:9:11:10,S,9,11,10,K,18,0
S:9:11:11,S,9,11,11,K,18,0
S:9:11:12,S,9,11,12,K,18,0
S:3:11:8,S,3,11,8,s,18,0
S:3:11:7,S,3,11,7,s,18,0
S:3:11:6,S,3,11,6,s,18,0
S:1:12:1,S,1,12,1,s,18,0
S:1:12:2,S,1,12,2,s,18,0
S:1:12:3,S,1,12,3,s,18,0
S:1:12:4,S,1,12,4,s,18,0
S:1:12:5,S,1,12,5,s,18,0
S:1:12:6,S,1,12,6,s,18,0
S:1:12:7,S,1,12,7,s,18,0
S:1:12:8,S,1,12,8,s,18,0
S:1:12:9,S,1,12,9,s,18,0
S:1:12:10,S,1,12,10,s,18,0
S:1:12:11,S,1,12,11,s,18,0
S:1:12:12,S,1,12,12,s,18,0
S:1:12:13,S,1,12,13,s,18,0
S:1:12:14,S,1,12,14,s,18,0
S:1:12:15,S,1,12,15,s,18,0
S:10:12:1,S,10,12,1,K,18,0
S:10:12:2,S,10,12,2,K,18,0
S:10:12:3,S,10,12,3,K,18,0
S:10:12:4,S,10,12,4,K,18,0
S:10:12:5,S,10,12,5,K,18,0
S:10:12:6,S,10,12,6,K,18,0
S:10:12:7,S,10,12,7,K,18,0
S:10:12:8,S,10,12,8,K,18,0
S:10:12:9,S,10,12,9,K,18,0
S:10:12:10,S,10,12,10,K,18,0
S:3:11:5,S,3,11,5,s,18,0
S:3:11:4,S,3,11,4,s,18,0
S:3:11:3,S,3,11,3,s,18,0
S:3:11:2,S,3,11,2,s,18,0
S:3:11:1,S,3,11,1,s,18,0
S:11:12:1,S,11,12,1,K,18,0
S:11:12:2,S,11,12,2,K,18,0
S:11:12:3,S,11,12,3,K,18,0
S:2:11:3,S,2,11,3,s,18,0
S:2:11:2,S,2,11,2,s,18,0
S:2:11:1,S,2,11,1,s,18,0
S:11:11:15,S,11,11,15,K,18,0
S:11:11:14,S,11,11,14,K,18,0
S:11:11:13,S,11,11,13,K,18,0
S:11:11:12,S,11,11,12,K,18,0
S:11:11:11,S,11,11,11,K,18,0
S:11:11:10,S,11,11,10,K,18,0
S:11:11:9,S,11,11,9,K,18,0
S:11:11:8,S,11,11,8,K,18,0
S:11:11:7,S,11,11,7,K,18,0
S:11:11:6,S,11,11,6,K,18,0
S:11:11:5,S,11,11,5,K,18,0
S:11:11:4,S,11,11,4,K,18,0
S:11:11:3,S,11,11,3,K,18,0
S:11:11:2,S,11,11,2,K,18,0
S:11:11:1,S,11,11,1,K,18,0
S:10:11:15,S,10,11,15,K,18,0
S:10:11:14,S,10,11,14,K,18,0
S:10:11:13,S,10,11,13,K,18,0
S:10:11:12,S,10,11,12,K,18,0
S:10:11:11,S,10,11,11,K,18,0
S:10:11:10,S,10,11,10,K,18,0
S:10:11:9,S,10,11,9,K,18,0
