LS,Level,Section,Row,Seat,Seat.Status.Code,Price.Level.Code,Item.Price,X,Y,Available.Seats,Avail.Seat.Code
1:101:A:1,1,101,A,1,K,11,0,1741,831,0,O
1:101:A:10,1,101,A,10,K,11,0,1741,763.5,0,O
1:101:A:11,1,101,A,11,K,11,0,1741,756,0,O
1:101:A:12,1,101,A,12,K,11,0,1741,748.5,0,O
1:101:A:13,1,101,A,13,K,11,0,1741,741,0,O
1:101:A:14,1,101,A,14,K,11,0,1741,733.5,0,O
1:101:A:15,1,101,A,15,K,11,0,1741,726,0,O
1:101:A:2,1,101,A,2,K,11,0,1741,823.5,0,O
1:101:A:3,1,101,A,3,K,11,0,1741,816,0,O
1:101:A:4,1,101,A,4,K,11,0,1741,808.5,0,O
1:101:A:5,1,101,A,5,K,11,0,1741,801,0,O
1:101:A:6,1,101,A,6,K,11,0,1741,793.5,0,O
1:101:A:7,1,101,A,7,K,11,0,1741,786,0,O
1:101:A:8,1,101,A,8,K,11,0,1741,778.5,0,O
1:101:A:9,1,101,A,9,K,11,0,1741,771,0,O
1:101:A1:1,1,101,A1,1,K,11,0,1525,831,0,O
1:101:A1:10,1,101,A1,10,K,11,0,1525,763.5,0,O
1:101:A1:2,1,101,A1,2,K,11,0,1525,823.5,0,O
1:101:A1:3,1,101,A1,3,K,11,0,1525,816,0,O
1:101:A1:4,1,101,A1,4,K,11,0,1525,808.5,0,O
1:101:A1:5,1,101,A1,5,K,11,0,1525,801,0,O
1:101:A1:6,1,101,A1,6,K,11,0,1525,793.5,0,O
1:101:A1:7,1,101,A1,7,K,11,0,1525,786,0,O
1:101:A1:8,1,101,A1,8,K,11,0,1525,778.5,0,O
1:101:A1:9,1,101,A1,9,K,11,0,1525,771,0,O
1:101:A2:1,1,101,A2,1,K,11,0,1537,831,0,O
1:101:A2:10,1,101,A2,10,K,11,0,1537,763.5,0,O
1:101:A2:2,1,101,A2,2,K,11,0,1537,823.5,0,O
1:101:A2:3,1,101,A2,3,K,11,0,1537,816,0,O
1:101:A2:4,1,101,A2,4,K,11,0,1537,808.5,0,O
1:101:A2:5,1,101,A2,5,K,11,0,1537,801,0,O
1:101:A2:6,1,101,A2,6,K,11,0,1537,793.5,0,O
1:101:A2:7,1,101,A2,7,K,11,0,1537,786,0,O
1:101:A2:8,1,101,A2,8,K,11,0,1537,778.5,0,O
1:101:A2:9,1,101,A2,9,K,11,0,1537,771,0,O
1:101:A3:1,1,101,A3,1,K,11,0,1549,831,0,O
1:101:A3:10,1,101,A3,10,K,11,0,1549,763.5,0,O
1:101:A3:2,1,101,A3,2,K,11,0,1549,823.5,0,O
1:101:A3:3,1,101,A3,3,K,11,0,1549,816,0,O
1:101:A3:4,1,101,A3,4,K,11,0,1549,808.5,0,O
1:101:A3:5,1,101,A3,5,K,11,0,1549,801,0,O
1:101:A3:6,1,101,A3,6,K,11,0,1549,793.5,0,O
1:101:A3:7,1,101,A3,7,K,11,0,1549,786,0,O
1:101:A3:8,1,101,A3,8,K,11,0,1549,778.5,0,O
1:101:A3:9,1,101,A3,9,K,11,0,1549,771,0,O
1:101:A4:1,1,101,A4,1,K,11,0,1561,831,0,O
1:101:A4:10,1,101,A4,10,K,11,0,1561,763.5,0,O
1:101:A4:2,1,101,A4,2,K,11,0,1561,823.5,0,O
1:101:A4:3,1,101,A4,3,K,11,0,1561,816,0,O
1:101:A4:4,1,101,A4,4,K,11,0,1561,808.5,0,O
1:101:A4:5,1,101,A4,5,K,11,0,1561,801,0,O
1:101:A4:6,1,101,A4,6,K,11,0,1561,793.5,0,O
1:101:A4:7,1,101,A4,7,K,11,0,1561,786,0,O
1:101:A4:8,1,101,A4,8,K,11,0,1561,778.5,0,O
1:101:A4:9,1,101,A4,9,K,11,0,1561,771,0,O
1:101:A5:1,1,101,A5,1,K,11,0,1573,831,0,O
1:101:A5:10,1,101,A5,10,K,11,0,1573,763.5,0,O
1:101:A5:2,1,101,A5,2,K,11,0,1573,823.5,0,O
1:101:A5:3,1,101,A5,3,K,11,0,1573,816,0,O
1:101:A5:4,1,101,A5,4,K,11,0,1573,808.5,0,O
1:101:A5:5,1,101,A5,5,K,11,0,1573,801,0,O
1:101:A5:6,1,101,A5,6,K,11,0,1573,793.5,0,O
1:101:A5:7,1,101,A5,7,K,11,0,1573,786,0,O
1:101:A5:8,1,101,A5,8,K,11,0,1573,778.5,0,O
1:101:A5:9,1,101,A5,9,K,11,0,1573,771,0,O
1:101:A6:1,1,101,A6,1,K,11,0,1585,831,0,O
1:101:A6:10,1,101,A6,10,K,11,0,1585,763.5,0,O
1:101:A6:11,1,101,A6,11,K,11,0,1585,756,0,O
1:101:A6:12,1,101,A6,12,K,11,0,1585,748.5,0,O
1:101:A6:2,1,101,A6,2,K,11,0,1585,823.5,0,O
1:101:A6:3,1,101,A6,3,K,11,0,1585,816,0,O
1:101:A6:4,1,101,A6,4,K,11,0,1585,808.5,0,O
1:101:A6:5,1,101,A6,5,K,11,0,1585,801,0,O
1:101:A6:6,1,101,A6,6,K,11,0,1585,793.5,0,O
1:101:A6:7,1,101,A6,7,K,11,0,1585,786,0,O
1:101:A6:8,1,101,A6,8,K,11,0,1585,778.5,0,O
1:101:A6:9,1,101,A6,9,K,11,0,1585,771,0,O
1:101:A7:1,1,101,A7,1,K,11,0,1597,831,0,O
1:101:A7:10,1,101,A7,10,K,11,0,1597,763.5,0,O
1:101:A7:11,1,101,A7,11,K,11,0,1597,756,0,O
1:101:A7:12,1,101,A7,12,K,11,0,1597,748.5,0,O
1:101:A7:2,1,101,A7,2,K,11,0,1597,823.5,0,O
1:101:A7:3,1,101,A7,3,K,11,0,1597,816,0,O
1:101:A7:4,1,101,A7,4,K,11,0,1597,808.5,0,O
1:101:A7:5,1,101,A7,5,K,11,0,1597,801,0,O
1:101:A7:6,1,101,A7,6,K,11,0,1597,793.5,0,O
1:101:A7:7,1,101,A7,7,K,11,0,1597,786,0,O
1:101:A7:8,1,101,A7,8,K,11,0,1597,778.5,0,O
1:101:A7:9,1,101,A7,9,K,11,0,1597,771,0,O
1:101:AA:1,1,101,AA,1,K,11,0,1609,831,0,O
1:101:AA:10,1,101,AA,10,K,11,0,1609,763.5,0,O
1:101:AA:11,1,101,AA,11,K,11,0,1609,756,0,O
1:101:AA:12,1,101,AA,12,K,11,0,1609,748.5,0,O
1:101:AA:2,1,101,AA,2,K,11,0,1609,823.5,0,O
1:101:AA:3,1,101,AA,3,K,11,0,1609,816,0,O
1:101:AA:4,1,101,AA,4,K,11,0,1609,808.5,0,O
1:101:AA:5,1,101,AA,5,K,11,0,1609,801,0,O
1:101:AA:6,1,101,AA,6,K,11,0,1609,793.5,0,O
1:101:AA:7,1,101,AA,7,K,11,0,1609,786,0,O
1:101:AA:8,1,101,AA,8,K,11,0,1609,778.5,0,O
